theta0, theta1, loss
0.0,0.0,0.69314718056
-0.80036891959,0.0383508438954,0.253713223253
-1.13108413289,0.0712675802584,0.164133101086
-1.3435972556,0.0992120160057,0.124268023964
-1.5018557018,0.123787022653,0.101236134927
-1.62854632082,0.145934564893,0.0860707419104
-1.73445941151,0.166234287975,0.0752574498494
-1.8256097404,0.185068594047,0.0671204503764
-1.90570658576,0.202704381255,0.0607538549883
-1.97720450207,0.219336316996,0.0556229432941
-2.04181473329,0.235111421426,0.0513907480948
-2.10077931625,0.250143896312,0.0478338795017
-2.15502909516,0.264524524792,0.0447981208867
-2.20528017277,0.278326880352,0.0421734209199
-2.25209556435,0.291611572447,0.0398790434653
-2.2959261387,0.304429236147,0.0378543546017
-2.33713868884,0.316822691096,0.0360528922575
-2.37603571078,0.328828535095,0.0344384267412
-2.41286967192,0.340478343085,0.0329822715788
-2.44785351785,0.351799584607,0.0316614036604
-2.48116855048,0.36281633647,0.0304571212962
-2.51297043062,0.37354984381,0.0293540682596
-2.5433938177,0.384018967171,0.0283395120836
-2.57255600237,0.394240542671,0.0274028023152
-2.60055978405,0.404229675046,0.0265349583037
-2.62749577462,0.413999978255,0.0257283516611
-2.65344426047,0.423563774676,0.0249764588811
-2.67847672107,0.432932261278,0.0242736666164
-2.70265707749,0.442115649239,0.0236151169424
-2.72604272661,0.451123282003,0.0229965833117
-2.74868540379,0.45996373573,0.0224143703016
-2.77063190719,0.468644905231,0.0218652319772
-2.79192470941,0.477174077887,0.0213463049427
-2.81260247714,0.485557997543,0.0208550530787
-2.83270051468,0.493802919978,0.0203892216428
-2.85225114465,0.501914661298,0.0199467989277
-2.87128403605,0.509898640294,0.0195259840582
-2.88982648831,0.51775991569,0.0191251598057
-2.90790367826,0.525503219,0.0187428695281
-2.92553887561,0.533132983613,0.0183777975196
-2.94275363168,0.540653370625,0.018028752195
-2.95956794532,0.548068291856,0.0176946516388
-2.97600040921,0.555381430414,0.017374511141
-2.99206833925,0.562596259113,0.0170674324045
-3.00778788941,0.569716057033,0.0167725941692
-3.02317415383,0.576743924422,0.0164892440377
-3.03824125805,0.583682796152,0.0162166913275
-3.05300244045,0.590535453905,0.0159543008012
-3.06747012541,0.597304537208,0.0157014871502
-3.08165598898,0.603992553474,0.0154577101295
-3.09557101807,0.610601887142,0.0152224702533
-3.1092255639,0.617134808016,0.0149953049786
-3.12262939031,0.623593478884,0.0147757853127
-3.1357917176,0.629979962504,0.01456351279
-3.14872126233,0.636296228003,0.0143581167727
-3.16142627349,0.642544156761,0.0141592520342
-3.17391456554,0.648725547824,0.0139665965926
-3.18619354852,0.654842122897,0.0137798497632
-3.19827025563,0.660895530947,0.0135987304051
-3.21015136847,0.666887352463,0.0134229753396
-3.22184324016,0.672819103394,0.0132523379204
-3.23335191669,0.678692238806,0.0130865867403
-3.24468315644,0.684508156267,0.0129255044567
-3.25584244822,0.690268199002,0.0127688867267
-3.26683502796,0.695973658819,0.0126165412368
-3.27766589403,0.701625778842,0.0124682868193
-3.28833982149,0.707225756052,0.0123239526467
-3.29886137525,0.712774743668,0.0121833774946
-3.30923492227,0.718273853362,0.0120464090678
-3.31946464291,0.723724157338,0.0119129033825
-3.32955454144,0.729126690277,0.0117827241997
-3.33950845587,0.734482451157,0.0116557425046
-3.34933006703,0.739792404964,0.0115318360278
-3.3590229071,0.745057484299,0.0114108888044
-3.36859036755,0.750278590882,0.0112927907675
-3.37803570652,0.755456596977,0.0111774373728
-3.38736205579,0.760592346722,0.0110647292521
-3.39657242722,0.765686657392,0.0109545718927
-3.40566971884,0.770740320585,0.0108468753402
-3.41465672057,0.77575410334,0.0107415539233
-3.42353611949,0.780728749196,0.0106385259987
-3.43231050492,0.785664979193,0.0105377137136
-3.44098237308,0.790563492812,0.0104390427853
-3.44955413156,0.795424968877,0.0103424422965
-3.45802810343,0.800250066398,0.0102478445036
-3.46640653124,0.805039425372,0.0101551846592
-3.47469158066,0.809793667549,0.0100644008456
-3.48288534399,0.814513397152,0.0099754338202
-3.49098984345,0.819199201561,0.00988822687008
-3.49900703428,0.823851651968,0.00980272567687
-3.5069388077,0.828471303996,0.00971887818977
-3.51478699367,0.833058698284,0.00963663450687
-3.52255336352,0.837614361055,0.00955594676378
-3.53023963245,0.842138804644,0.00947676902925
-3.53784746186,0.846632528006,0.00939905720718
-3.54537846164,0.851096017206,0.00932276894456
-3.55283419221,0.855529745878,0.00924786354499
-3.56021616662,0.859934175667,0.00917430188728
-3.56752585239,0.864309756649,0.00910204634893
-3.57476467335,0.868656927735,0.00903106073398
-3.58193401138,0.872976117054,0.00896131020509
-3.58903520803,0.877267742322,0.00889276121945
-3.59606956607,0.881532211192,0.00882538146836
-3.60303835101,0.88576992159,0.00875913982019
-3.6099427925,0.88998126204,0.00869400626643
-3.61678408566,0.894166611968,0.00862995187083
-3.62356339238,0.898326342002,0.00856694872119
-3.63028184256,0.90246081425,0.00850496988383
-3.63694053525,0.906570382576,0.00844398936044
-3.6435405398,0.910655392858,0.00838398204723
-3.6500828969,0.91471618324,0.00832492369626
-3.65656861959,0.918753084368,0.00826679087871
-3.66299869429,0.922766419626,0.00820956095007
-3.66937408165,0.926756505351,0.00815321201715
-3.67569571751,0.930723651051,0.00809772290668
-3.68196451373,0.934668159607,0.00804307313555
-3.68818135897,0.938590327472,0.0079892428825
-3.69434711954,0.942490444854,0.00793621296119
-3.70046264009,0.946368795908,0.00788396479464
-3.70652874436,0.950225658901,0.00783248039083
-3.71254623585,0.954061306389,0.00778174231955
-3.71851589849,0.957876005375,0.00773173369029
-3.72443849727,0.961670017467,0.00768243813123
-3.73031477886,0.965443599029,0.00763383976917
-3.73614547216,0.969197001327,0.0075859232104
-3.74193128891,0.97293047067,0.00753867352248
-3.74767292418,0.976644248542,0.00749207621682
-3.75337105692,0.980338571739,0.00744611723209
-3.75902635043,0.984013672489,0.0074007829183
-3.76463945287,0.987669778579,0.0073560600217
-3.7702109977,0.991307113467,0.00731193567027
-3.77574160412,0.994925896403,0.00726839735985
-3.78123187751,0.998526342532,0.00722543294092
-3.78668240984,1.00210866301,0.00718303060593
-3.79209378004,1.00567306508,0.00714117887716
-3.79746655442,1.00921975222,0.00709986659509
-3.80280128699,1.0127489242,0.00705908290734
-3.80809851987,1.01626077717,0.00701881725797
-3.81335878357,1.01975550379,0.00697905937728
-3.81858259738,1.02323329326,0.00693979927206
-3.82377046962,1.02669433148,0.00690102721615
-3.82892289803,1.03013880106,0.00686273374152
-3.83404036997,1.03356688144,0.00682490962955
-3.83912336278,1.03697874893,0.00678754590283
-3.84417234402,1.04037457685,0.00675063381714
-3.84918777175,1.04375453553,0.00671416485384
-3.85417009478,1.04711879241,0.00667813071253
-3.8591197529,1.05046751214,0.00664252330401
-3.86403717718,1.05380085659,0.00660733474348
-3.86892279012,1.05711898493,0.00657255734405
-3.87377700594,1.06042205372,0.00653818361047
-3.87860023077,1.06371021694,0.00650420623308
-3.88339286286,1.06698362606,0.00647061808207
-3.88815529277,1.07024243011,0.00643741220185
-3.89288790362,1.07348677569,0.00640458180567
-3.8975910712,1.07671680707,0.00637212027051
-3.90226516424,1.07993266624,0.00634002113205
-3.90691054451,1.08313449292,0.00630827807989
-3.91152756705,1.08632242466,0.00627688495291
-3.9161165803,1.08949659683,0.00624583573485
-3.92067792631,1.09265714273,0.00621512454997
-3.92521194083,1.09580419359,0.00618474565894
-3.92971895352,1.09893787863,0.00615469345485
-3.93419928807,1.10205832511,0.0061249624593
-3.93865326234,1.10516565833,0.00609554731876
-3.94308118855,1.10826000175,0.00606644280093
-3.94748337332,1.11134147694,0.00603764379129
-3.95186011789,1.11441020368,0.00600914528974
-3.9562117182,1.11746629997,0.0059809424074
-3.96053846504,1.12050988208,0.00595303036346
-3.96484064414,1.12354106457,0.00592540448217
-3.96911853631,1.12655996035,0.00589806018994
-3.97337241755,1.12956668067,0.00587099301252
-3.97760255914,1.1325613352,0.00584419857226
-3.98180922779,1.13554403203,0.00581767258548
-3.98599268568,1.13851487771,0.00579141085996
-3.99015319063,1.1414739773,0.00576540929242
-3.99429099615,1.14442143436,0.00573966386618
-3.99840635153,1.14735735101,0.00571417064883
-4.002499502,1.15028182794,0.00568892579002
-4.00657068872,1.15319496447,0.00566392551928
-4.01062014896,1.15609685852,0.00563916614392
-4.01464811613,1.15898760669,0.00561464404704
-4.01865481988,1.16186730426,0.00559035568551
-4.02264048616,1.1647360452,0.00556629758815
-4.02660533736,1.16759392223,0.0055424663538
