theta_0,theta_1,loss
-8.95382940069,-6.5048415813,46.2692920721
-8.75180919867,-6.5048415813,45.6157567185
-8.54978899665,-6.5048415813,44.962221365
-8.34776879463,-6.5048415813,44.3086860114
-8.14574859261,-6.5048415813,43.6551506579
-7.94372839059,-6.5048415813,43.0016153044
-7.74170818857,-6.5048415813,42.3480799508
-7.53968798655,-6.5048415813,41.6945445973
-7.33766778453,-6.5048415813,41.0410092438
-7.13564758251,-6.5048415813,40.3874738902
-6.93362738049,-6.5048415813,39.7339385367
-6.73160717847,-6.5048415813,39.0804031832
-6.52958697645,-6.5048415813,38.4268678296
-6.32756677443,-6.5048415813,37.7733324761
-6.12554657241,-6.5048415813,37.1197971226
-5.92352637039,-6.5048415813,36.466261769
-5.72150616837,-6.5048415813,35.8127264155
-5.51948596635,-6.5048415813,35.159191062
-5.31746576433,-6.5048415813,34.5056557084
-5.11544556231,-6.5048415813,33.8521203549
-4.91342536029,-6.5048415813,33.1985850013
-4.71140515826,-6.5048415813,32.5450496478
-4.50938495624,-6.5048415813,31.8915142943
-4.30736475422,-6.5048415813,31.2379789407
-4.1053445522,-6.5048415813,30.5844435872
-3.90332435018,-6.5048415813,29.9309082337
-3.70130414816,-6.5048415813,29.2773728801
-3.49928394614,-6.5048415813,28.6238375266
-3.29726374412,-6.5048415813,27.9703021731
-3.0952435421,-6.5048415813,27.3167668195
-2.89322334008,-6.5048415813,26.663231466
-2.69120313806,-6.5048415813,26.0096961125
-2.48918293604,-6.5048415813,25.3561607589
-2.28716273402,-6.5048415813,24.7026254054
-2.085142532,-6.5048415813,24.0490900519
-1.88312232998,-6.5048415813,23.3955546983
-1.68110212796,-6.5048415813,22.7420193448
-1.47908192594,-6.5048415813,22.0884839912
-1.27706172392,-6.5048415813,21.4349486377
-1.0750415219,-6.5048415813,20.7814132842
-0.873021319881,-6.5048415813,20.1278779306
-0.671001117861,-6.5048415813,19.4743425771
-0.468980915841,-6.5048415813,18.8208072236
-0.26696071382,-6.5048415813,18.16727187
-0.0649405118003,-6.5048415813,17.5137365165
0.13707969022,-6.5048415813,16.860201163
0.33909989224,-6.5048415813,16.2066658094
0.54112009426,-6.5048415813,15.5531304559
0.743140296281,-6.5048415813,14.8995951024
0.945160498301,-6.5048415813,14.2460597488
1.14718070032,-6.5048415813,13.5925243953
1.34920090234,-6.5048415813,12.9389890418
1.55122110436,-6.5048415813,12.2854536885
1.75324130638,-6.5048415813,11.6319183356
1.9552615084,-6.5048415813,10.9783829841
2.15728171042,-6.5048415813,10.3248476374
2.35930191244,-6.5048415813,9.67131230645
2.56132211446,-6.5048415813,9.0177770285
2.76334231648,-6.5048415813,8.36424192862
2.9653625185,-6.5048415813,7.71070743024
3.16738272052,-6.5048415813,7.05717497344
3.36940292254,-6.5048415813,6.40364947926
3.57142312456,-6.5048415813,5.75014784224
3.77344332658,-6.5048415813,5.09672828411
3.9754635286,-6.5048415813,4.44359165272
4.17748373062,-6.5048415813,3.79142552409
4.37950393264,-6.5048415813,3.1425081918
4.58152413466,-6.5048415813,2.50371816247
4.78354433668,-6.5048415813,1.89199716228
4.9855645387,-6.5048415813,1.33698436514
5.18758474072,-6.5048415813,0.875029181704
5.38960494275,-6.5048415813,0.540231690463
5.59162514477,-6.5048415813,0.35647881176
5.79364534679,-6.5048415813,0.374443341
5.99566554881,-6.5048415813,0.666086877046
6.19768575083,-6.5048415813,1.22874798924
6.39970595285,-6.5048415813,1.99974744939
6.60172615487,-6.5048415813,2.89734317344
6.80374635689,-6.5048415813,3.86389894208
7.00576655891,-6.5048415813,4.87216483336
7.20778676093,-6.5048415813,5.89786400137
7.40980696295,-6.5048415813,6.92719188541
7.61182716497,-6.5048415813,7.95701746548
7.81384736699,-6.5048415813,8.98690665162
8.01586756901,-6.5048415813,10.0168042184
8.21788777103,-6.5048415813,11.0467029731
8.41990797305,-6.5048415813,12.0766019172
8.62192817507,-6.5048415813,13.1065008967
8.82394837709,-6.5048415813,14.1363998839
9.02596857911,-6.5048415813,15.1662988731
9.22798878113,-6.5048415813,16.1961978628
9.43000898315,-6.5048415813,17.2260968526
9.63202918517,-6.5048415813,18.2559958425
9.83404938719,-6.5048415813,19.2858948324
10.0360695892,-6.5048415813,20.3157938223
10.2380897912,-6.5048415813,21.3456928122
10.4401099933,-6.5048415813,22.3755918021
10.6421301953,-6.5048415813,23.405490792
10.8441503973,-6.5048415813,24.4353897819
11.0461705993,-6.5048415813,25.4652887718
-8.95382940069,-6.30282137928,45.8993930822
-8.75180919867,-6.30282137928,45.2458577286
-8.54978899665,-6.30282137928,44.5923223751
-8.34776879463,-6.30282137928,43.9387870215
-8.14574859261,-6.30282137928,43.285251668
-7.94372839059,-6.30282137928,42.6317163145
-7.74170818857,-6.30282137928,41.9781809609
-7.53968798655,-6.30282137928,41.3246456074
-7.33766778453,-6.30282137928,40.6711102539
-7.13564758251,-6.30282137928,40.0175749003
-6.93362738049,-6.30282137928,39.3640395468
-6.73160717847,-6.30282137928,38.7105041933
-6.52958697645,-6.30282137928,38.0569688397
-6.32756677443,-6.30282137928,37.4034334862
-6.12554657241,-6.30282137928,36.7498981327
-5.92352637039,-6.30282137928,36.0963627791
-5.72150616837,-6.30282137928,35.4428274256
-5.51948596635,-6.30282137928,34.7892920721
-5.31746576433,-6.30282137928,34.1357567185
-5.11544556231,-6.30282137928,33.482221365
-4.91342536029,-6.30282137928,32.8286860114
-4.71140515826,-6.30282137928,32.1751506579
-4.50938495624,-6.30282137928,31.5216153044
-4.30736475422,-6.30282137928,30.8680799508
-4.1053445522,-6.30282137928,30.2145445973
-3.90332435018,-6.30282137928,29.5610092438
-3.70130414816,-6.30282137928,28.9074738902
-3.49928394614,-6.30282137928,28.2539385367
-3.29726374412,-6.30282137928,27.6004031832
-3.0952435421,-6.30282137928,26.9468678296
-2.89322334008,-6.30282137928,26.2933324761
-2.69120313806,-6.30282137928,25.6397971226
-2.48918293604,-6.30282137928,24.986261769
-2.28716273402,-6.30282137928,24.3327264155
-2.085142532,-6.30282137928,23.679191062
-1.88312232998,-6.30282137928,23.0256557084
-1.68110212796,-6.30282137928,22.3721203549
-1.47908192594,-6.30282137928,21.7185850013
-1.27706172392,-6.30282137928,21.0650496478
-1.0750415219,-6.30282137928,20.4115142943
-0.873021319881,-6.30282137928,19.7579789407
-0.671001117861,-6.30282137928,19.1044435872
-0.468980915841,-6.30282137928,18.4509082337
-0.26696071382,-6.30282137928,17.7973728801
-0.0649405118003,-6.30282137928,17.1438375266
0.13707969022,-6.30282137928,16.4903021731
0.33909989224,-6.30282137928,15.8367668195
0.54112009426,-6.30282137928,15.183231466
0.743140296281,-6.30282137928,14.5296961125
0.945160498301,-6.30282137928,13.8761607589
1.14718070032,-6.30282137928,13.2226254054
1.34920090234,-6.30282137928,12.569090052
1.55122110436,-6.30282137928,11.9155546988
1.75324130638,-6.30282137928,11.2620193464
1.9552615084,-6.30282137928,10.6084839965
2.15728171042,-6.30282137928,9.95494865522
2.35930191244,-6.30282137928,9.30141334245
2.56132211446,-6.30282137928,8.64787812553
2.76334231648,-6.30282137928,7.99434323188
2.9653625185,-6.30282137928,7.34080943399
3.16738272052,-6.30282137928,6.68727936874
3.36940292254,-6.30282137928,6.0337620812
3.57142312456,-6.30282137928,5.38028873853
3.77344332658,-6.30282137928,4.72696706723
3.9754635286,-6.30282137928,4.07416884504
4.17748373062,-6.30282137928,3.42315730295
4.37950393264,-6.30282137928,2.77799913284
4.58152413466,-6.30282137928,2.15008841463
4.78354433668,-6.30282137928,1.5636386671
4.9855645387,-6.30282137928,1.05334849343
5.18758474072,-6.30282137928,0.65555637239
5.38960494275,-6.30282137928,0.3958439658
5.59162514477,-6.30282137928,0.299206316943
5.79364534679,-6.30282137928,0.430981563502
5.99566554881,-6.30282137928,0.845334479177
6.19768575083,-6.30282137928,1.50613797129
6.39970595285,-6.30282137928,2.34225369362
6.60172615487,-6.30282137928,3.2751568568
6.80374635689,-6.30282137928,4.26392733823
7.00576655891,-6.30282137928,5.28299002646
7.20778676093,-6.30282137928,6.31119682256
7.40980696295,-6.30282137928,7.3408770844
7.61182716497,-6.30282137928,8.37074784798
7.81384736699,-6.30282137928,9.40064300303
