theta_2,theta_3,loss
0.0,0.0,0.69314718056
-0.34875,0.243,1.31420319903
3.1212789938,2.61347878214,12.649420865
-1.33072100549,0.535978782533,4.93024625451
2.4235148889,3.09929553719,6.24651933184
-2.02845287409,1.02180995058,7.48039082346
1.72604429849,3.58530793475,0.384647238589
-0.275827768061,2.63654850882,0.785686089094
2.38563915128,4.42952407278,1.59834297605
-1.57982948055,2.56711394337,5.52947344254
2.17441401055,5.13042357015,0.0402484248753
1.9272256536,5.01150159209,0.00620532030162
1.88187076353,4.98953537542,0.00427903470063
1.84995339763,4.97406693633,0.00328178537432
1.8251941112,4.96206298311,0.002666593363
1.80492914958,4.95223550142,0.00224778755732
1.78776117418,4.94390840043,0.00194378294272
1.77286141398,4.93668050453,0.00171286189878
1.75969647429,4.93029352981,0.00153140238437
1.74790227051,4.92457112908,0.00138500147545
1.73721896059,4.91938741805,0.00126436765255
1.72745448737,4.91464933462,0.00116323362502
1.71846281934,4.91028610747,0.00107721630922
1.71013029401,4.90624264477,0.00100315709809
1.70236668734,4.90247520996,0.000938721552022
1.69509917014,4.898948495,0.000882146686449
1.68826809782,4.895633581,0.000832075976703
1.6818240033,4.89250648163,0.00078744846772
1.67572540216,4.88954707971,0.00074742234404
1.6699371601,4.8867383362,0.000711321071378
1.66442925788,4.88406569173,0.000678594691722
1.65917584297,4.88151660702,0.000648791517002
1.65415449154,4.87908020516,0.000621537099466
1.64934562704,4.87674698984,0.00059651838464
1.64473205715,4.87450862088,0.000573471614664
1.64029860124,4.87235773362,0.000552172985213
1.63603178802,4.87028779236,0.000532431351049
1.63191960783,4.86829297029,0.000514082474345
1.62795130842,4.86636805042,0.000496984447872
1.6241172251,4.86450834327,0.000481014022146
1.62040863877,4.862709618,0.000466063634793
1.61681765629,4.86096804443,0.000452038990247
1.61333710925,4.85928014393,0.000438857074363
1.60996046784,4.85764274764,0.000426444515367
1.60668176706,4.85605296074,0.000414736222635
1.60349554339,4.85450813164,0.000403674249836
1.60039678003,4.85300582551,0.000393206840432
1.59738085947,4.85154380124,0.000383287622293
1.59444352214,4.85011999137,0.000373874924919
1.59158083035,4.84873248463,0.00036493119804
1.5887891366,4.84737951054,0.000356422514427
1.58606505575,4.84605942591,0.000348318143039
1.58340544039,4.84477070294,0.000340590181149
1.5808073591,4.84351191859,0.00033321323615
1.57826807709,4.84228174528,0.000326164149393
1.575785039,4.84107894247,0.000319421755707
1.5733558535,4.83990234924,0.000312966673347
1.57097827956,4.83875087759,0.00030678111995
1.56865021409,4.83762350647,0.000300848750844
1.56636968083,4.83651927639,0.000295154516572
1.56413482034,4.83543728454,0.000289684537052
1.56194388098,4.83437668043,0.000284425990123
1.5597952107,4.83333666193,0.000279367012605
1.55768724967,4.83231647163,0.000274496612264
1.55561852346,4.83131539359,0.000269804589304
1.55358763698,4.83033275038,0.000265281466199
1.55159326886,4.82936790034,0.000260918424855
1.54963416631,4.82842023511,0.000256707250225
1.54770914051,4.82748917737,0.000252640279605
1.54581706224,4.82657417874,0.000248710356976
1.54395685806,4.82567471791,0.000244910791786
1.54212750658,4.82479029883,0.000241235321708
1.54032803525,4.82392044916,0.000237678078907
1.5385575172,4.82306471875,0.000234233559451
1.53681506849,4.82222267827,0.000230896595528
1.53509984545,4.82139391794,0.000227662330166
1.53341104228,4.82057804637,0.000224526194203
1.53174788882,4.81977468949,0.000221483885277
1.53010964849,4.8189834895,0.000218531348629
1.52849561633,4.81820410395,0.000215664759536
1.52690511721,4.81743620492,0.00021288050723
1.52533750423,4.81667947812,0.000210175180135
1.52379215708,4.81593362224,0.000207545552319
1.52226848067,4.81519834817,0.000204988571031
1.52076590372,4.81447337837,0.000202501345237
1.51928387758,4.8137584463,0.000200081135042
1.51782187496,4.81305329578,0.000197725341948
1.51637938889,4.8123576805,0.00019543149984
1.51495593168,4.8116713635,0.000193197266666
