theta_2,theta_3,loss
-15.3300512396,-12.4547976419,46.2692920721
-15.1280310376,-12.4547976419,45.6157567185
-14.9260108355,-12.4547976419,44.962221365
-14.7239906335,-12.4547976419,44.3086860114
-14.5219704315,-12.4547976419,43.6551506579
-14.3199502295,-12.4547976419,43.0016153044
-14.1179300275,-12.4547976419,42.3480799508
-13.9159098254,-12.4547976419,41.6945445973
-13.7138896234,-12.4547976419,41.0410092438
-13.5118694214,-12.4547976419,40.3874738902
-13.3098492194,-12.4547976419,39.7339385367
-13.1078290174,-12.4547976419,39.0804031832
-12.9058088153,-12.4547976419,38.4268678296
-12.7037886133,-12.4547976419,37.7733324761
-12.5017684113,-12.4547976419,37.1197971226
-12.2997482093,-12.4547976419,36.466261769
-12.0977280073,-12.4547976419,35.8127264155
-11.8957078052,-12.4547976419,35.159191062
-11.6936876032,-12.4547976419,34.5056557084
-11.4916674012,-12.4547976419,33.8521203549
-11.2896471992,-12.4547976419,33.1985850013
-11.0876269972,-12.4547976419,32.5450496478
-10.8856067951,-12.4547976419,31.8915142943
-10.6835865931,-12.4547976419,31.2379789407
-10.4815663911,-12.4547976419,30.5844435872
-10.2795461891,-12.4547976419,29.9309082337
-10.0775259871,-12.4547976419,29.2773728801
-9.87550578504,-12.4547976419,28.6238375266
-9.67348558302,-12.4547976419,27.9703021731
-9.471465381,-12.4547976419,27.3167668195
-9.26944517898,-12.4547976419,26.663231466
-9.06742497696,-12.4547976419,26.0096961125
-8.86540477494,-12.4547976419,25.3561607589
-8.66338457292,-12.4547976419,24.7026254054
-8.4613643709,-12.4547976419,24.0490900519
-8.25934416888,-12.4547976419,23.3955546983
-8.05732396686,-12.4547976419,22.7420193448
-7.85530376484,-12.4547976419,22.0884839912
-7.65328356282,-12.4547976419,21.4349486377
-7.4512633608,-12.4547976419,20.7814132842
-7.24924315878,-12.4547976419,20.1278779306
-7.04722295676,-12.4547976419,19.4743425771
-6.84520275474,-12.4547976419,18.8208072236
-6.64318255272,-12.4547976419,18.16727187
-6.4411623507,-12.4547976419,17.5137365165
-6.23914214868,-12.4547976419,16.860201163
-6.03712194666,-12.4547976419,16.2066658094
-5.83510174464,-12.4547976419,15.5531304559
-5.63308154262,-12.4547976419,14.8995951024
-5.4310613406,-12.4547976419,14.2460597488
-5.22904113858,-12.4547976419,13.5925243953
-5.02702093656,-12.4547976419,12.9389890418
-4.82500073454,-12.4547976419,12.2854536885
-4.62298053252,-12.4547976419,11.6319183356
-4.4209603305,-12.4547976419,10.9783829841
-4.21894012848,-12.4547976419,10.3248476374
-4.01691992646,-12.4547976419,9.67131230645
-3.81489972444,-12.4547976419,9.0177770285
-3.61287952242,-12.4547976419,8.36424192862
-3.4108593204,-12.4547976419,7.71070743024
-3.20883911838,-12.4547976419,7.05717497344
-3.00681891636,-12.4547976419,6.40364947926
-2.80479871434,-12.4547976419,5.75014784224
-2.60277851232,-12.4547976419,5.09672828411
-2.4007583103,-12.4547976419,4.44359165272
-2.19873810828,-12.4547976419,3.79142552409
-1.99671790626,-12.4547976419,3.1425081918
-1.79469770424,-12.4547976419,2.50371816247
-1.59267750222,-12.4547976419,1.89199716228
-1.3906573002,-12.4547976419,1.33698436514
-1.18863709818,-12.4547976419,0.875029181704
-0.986616896155,-12.4547976419,0.540231690463
-0.784596694135,-12.4547976419,0.35647881176
-0.582576492115,-12.4547976419,0.374443341
-0.380556290095,-12.4547976419,0.666086877046
-0.178536088075,-12.4547976419,1.22874798924
0.0234841139455,-12.4547976419,1.99974744939
0.225504315966,-12.4547976419,2.89734317344
0.427524517986,-12.4547976419,3.86389894208
0.629544720006,-12.4547976419,4.87216483336
0.831564922026,-12.4547976419,5.89786400137
1.03358512405,-12.4547976419,6.92719188541
1.23560532607,-12.4547976419,7.95701746548
1.43762552809,-12.4547976419,8.98690665162
1.63964573011,-12.4547976419,10.0168042184
1.84166593213,-12.4547976419,11.0467029731
2.04368613415,-12.4547976419,12.0766019172
2.24570633617,-12.4547976419,13.1065008967
2.44772653819,-12.4547976419,14.1363998839
2.64974674021,-12.4547976419,15.1662988731
2.85176694223,-12.4547976419,16.1961978628
3.05378714425,-12.4547976419,17.2260968526
3.25580734627,-12.4547976419,18.2559958425
3.45782754829,-12.4547976419,19.2858948324
3.65984775031,-12.4547976419,20.3157938223
3.86186795233,-12.4547976419,21.3456928122
4.06388815435,-12.4547976419,22.3755918021
4.26590835637,-12.4547976419,23.405490792
4.46792855839,-12.4547976419,24.4353897819
4.66994876041,-12.4547976419,25.4652887718
-15.3300512396,-12.2527774399,45.8993930822
-15.1280310376,-12.2527774399,45.2458577286
-14.9260108355,-12.2527774399,44.5923223751
-14.7239906335,-12.2527774399,43.9387870215
-14.5219704315,-12.2527774399,43.285251668
-14.3199502295,-12.2527774399,42.6317163145
-14.1179300275,-12.2527774399,41.9781809609
-13.9159098254,-12.2527774399,41.3246456074
-13.7138896234,-12.2527774399,40.6711102539
-13.5118694214,-12.2527774399,40.0175749003
-13.3098492194,-12.2527774399,39.3640395468
-13.1078290174,-12.2527774399,38.7105041933
-12.9058088153,-12.2527774399,38.0569688397
-12.7037886133,-12.2527774399,37.4034334862
-12.5017684113,-12.2527774399,36.7498981327
-12.2997482093,-12.2527774399,36.0963627791
-12.0977280073,-12.2527774399,35.4428274256
-11.8957078052,-12.2527774399,34.7892920721
-11.6936876032,-12.2527774399,34.1357567185
-11.4916674012,-12.2527774399,33.482221365
-11.2896471992,-12.2527774399,32.8286860114
-11.0876269972,-12.2527774399,32.1751506579
-10.8856067951,-12.2527774399,31.5216153044
-10.6835865931,-12.2527774399,30.8680799508
-10.4815663911,-12.2527774399,30.2145445973
-10.2795461891,-12.2527774399,29.5610092438
-10.0775259871,-12.2527774399,28.9074738902
-9.87550578504,-12.2527774399,28.2539385367
-9.67348558302,-12.2527774399,27.6004031832
-9.471465381,-12.2527774399,26.9468678296
-9.26944517898,-12.2527774399,26.2933324761
-9.06742497696,-12.2527774399,25.6397971226
-8.86540477494,-12.2527774399,24.986261769
-8.66338457292,-12.2527774399,24.3327264155
-8.4613643709,-12.2527774399,23.679191062
-8.25934416888,-12.2527774399,23.0256557084
-8.05732396686,-12.2527774399,22.3721203549
-7.85530376484,-12.2527774399,21.7185850013
-7.65328356282,-12.2527774399,21.0650496478
-7.4512633608,-12.2527774399,20.4115142943
-7.24924315878,-12.2527774399,19.7579789407
-7.04722295676,-12.2527774399,19.1044435872
-6.84520275474,-12.2527774399,18.4509082337
-6.64318255272,-12.2527774399,17.7973728801
-6.4411623507,-12.2527774399,17.1438375266
-6.23914214868,-12.2527774399,16.4903021731
-6.03712194666,-12.2527774399,15.8367668195
-5.83510174464,-12.2527774399,15.183231466
-5.63308154262,-12.2527774399,14.5296961125
-5.4310613406,-12.2527774399,13.8761607589
-5.22904113858,-12.2527774399,13.2226254054
-5.02702093656,-12.2527774399,12.569090052
-4.82500073454,-12.2527774399,11.9155546988
-4.62298053252,-12.2527774399,11.2620193464
-4.4209603305,-12.2527774399,10.6084839965
-4.21894012848,-12.2527774399,9.95494865522
-4.01691992646,-12.2527774399,9.30141334245
-3.81489972444,-12.2527774399,8.64787812553
-3.61287952242,-12.2527774399,7.99434323188
-3.4108593204,-12.2527774399,7.34080943399
-3.20883911838,-12.2527774399,6.68727936874
-3.00681891636,-12.2527774399,6.0337620812
-2.80479871434,-12.2527774399,5.38028873853
-2.60277851232,-12.2527774399,4.72696706723
-2.4007583103,-12.2527774399,4.07416884504
-2.19873810828,-12.2527774399,3.42315730295
-1.99671790626,-12.2527774399,2.77799913284
-1.79469770424,-12.2527774399,2.15008841463
-1.59267750222,-12.2527774399,1.5636386671
-1.3906573002,-12.2527774399,1.05334849343
-1.18863709818,-12.2527774399,0.65555637239
-0.986616896155,-12.2527774399,0.3958439658
-0.784596694135,-12.2527774399,0.299206316943
-0.582576492115,-12.2527774399,0.430981563502
-0.380556290095,-12.2527774399,0.845334479177
-0.178536088075,-12.2527774399,1.50613797129
0.0234841139455,-12.2527774399,2.34225369362
0.225504315966,-12.2527774399,3.2751568568
0.427524517986,-12.2527774399,4.26392733823
0.629544720006,-12.2527774399,5.28299002646
0.831564922026,-12.2527774399,6.31119682256
1.03358512405,-12.2527774399,7.3408770844
1.23560532607,-12.2527774399,8.37074784798
1.43762552809,-12.2527774399,9.40064300303
1.63964573011,-12.2527774399,10.4305414211
1.84166593213,-12.2527774399,11.460440313
2.04368613415,-12.2527774399,12.4903392831
2.24570633617,-12.2527774399,13.5202382684
2.44772653819,-12.2527774399,14.5501372571
2.64974674021,-12.2527774399,15.5800362467
2.85176694223,-12.2527774399,16.6099352365
3.05378714425,-12.2527774399,17.6398342263
3.25580734627,-12.2527774399,18.6697332162
3.45782754829,-12.2527774399,19.6996322061
3.65984775031,-12.2527774399,20.729531196
3.86186795233,-12.2527774399,21.7594301859
4.06388815435,-12.2527774399,22.7893291758
4.26590835637,-12.2527774399,23.8192281657
4.46792855839,-12.2527774399,24.8491271556
