theta_0,theta_3,loss
-8.95382940069,-12.4547976419,46.2692920721
-8.75180919867,-12.4547976419,45.6157567185
-8.54978899665,-12.4547976419,44.962221365
-8.34776879463,-12.4547976419,44.3086860114
-8.14574859261,-12.4547976419,43.6551506579
-7.94372839059,-12.4547976419,43.0016153044
-7.74170818857,-12.4547976419,42.3480799508
-7.53968798655,-12.4547976419,41.6945445973
-7.33766778453,-12.4547976419,41.0410092438
-7.13564758251,-12.4547976419,40.3874738902
-6.93362738049,-12.4547976419,39.7339385367
-6.73160717847,-12.4547976419,39.0804031832
-6.52958697645,-12.4547976419,38.4268678296
-6.32756677443,-12.4547976419,37.7733324761
-6.12554657241,-12.4547976419,37.1197971226
-5.92352637039,-12.4547976419,36.466261769
-5.72150616837,-12.4547976419,35.8127264155
-5.51948596635,-12.4547976419,35.159191062
-5.31746576433,-12.4547976419,34.5056557084
-5.11544556231,-12.4547976419,33.8521203549
-4.91342536029,-12.4547976419,33.1985850013
-4.71140515826,-12.4547976419,32.5450496478
-4.50938495624,-12.4547976419,31.8915142943
-4.30736475422,-12.4547976419,31.2379789407
-4.1053445522,-12.4547976419,30.5844435872
-3.90332435018,-12.4547976419,29.9309082337
-3.70130414816,-12.4547976419,29.2773728801
-3.49928394614,-12.4547976419,28.6238375266
-3.29726374412,-12.4547976419,27.9703021731
-3.0952435421,-12.4547976419,27.3167668195
-2.89322334008,-12.4547976419,26.663231466
-2.69120313806,-12.4547976419,26.0096961125
-2.48918293604,-12.4547976419,25.3561607589
-2.28716273402,-12.4547976419,24.7026254054
-2.085142532,-12.4547976419,24.0490900519
-1.88312232998,-12.4547976419,23.3955546983
-1.68110212796,-12.4547976419,22.7420193448
-1.47908192594,-12.4547976419,22.0884839912
-1.27706172392,-12.4547976419,21.4349486377
-1.0750415219,-12.4547976419,20.7814132842
-0.873021319881,-12.4547976419,20.1278779306
-0.671001117861,-12.4547976419,19.4743425771
-0.468980915841,-12.4547976419,18.8208072236
-0.26696071382,-12.4547976419,18.16727187
-0.0649405118003,-12.4547976419,17.5137365165
0.13707969022,-12.4547976419,16.860201163
0.33909989224,-12.4547976419,16.2066658094
0.54112009426,-12.4547976419,15.5531304559
0.743140296281,-12.4547976419,14.8995951024
0.945160498301,-12.4547976419,14.2460597488
1.14718070032,-12.4547976419,13.5925243953
1.34920090234,-12.4547976419,12.9389890418
1.55122110436,-12.4547976419,12.2854536885
1.75324130638,-12.4547976419,11.6319183356
1.9552615084,-12.4547976419,10.9783829841
2.15728171042,-12.4547976419,10.3248476374
2.35930191244,-12.4547976419,9.67131230645
2.56132211446,-12.4547976419,9.0177770285
2.76334231648,-12.4547976419,8.36424192862
2.9653625185,-12.4547976419,7.71070743024
3.16738272052,-12.4547976419,7.05717497344
3.36940292254,-12.4547976419,6.40364947926
3.57142312456,-12.4547976419,5.75014784224
3.77344332658,-12.4547976419,5.09672828411
3.9754635286,-12.4547976419,4.44359165272
4.17748373062,-12.4547976419,3.79142552409
4.37950393264,-12.4547976419,3.1425081918
4.58152413466,-12.4547976419,2.50371816247
4.78354433668,-12.4547976419,1.89199716228
4.9855645387,-12.4547976419,1.33698436514
5.18758474072,-12.4547976419,0.875029181704
5.38960494275,-12.4547976419,0.540231690463
5.59162514477,-12.4547976419,0.35647881176
5.79364534679,-12.4547976419,0.374443341
5.99566554881,-12.4547976419,0.666086877046
6.19768575083,-12.4547976419,1.22874798924
6.39970595285,-12.4547976419,1.99974744939
6.60172615487,-12.4547976419,2.89734317344
6.80374635689,-12.4547976419,3.86389894208
7.00576655891,-12.4547976419,4.87216483336
7.20778676093,-12.4547976419,5.89786400137
7.40980696295,-12.4547976419,6.92719188541
7.61182716497,-12.4547976419,7.95701746548
7.81384736699,-12.4547976419,8.98690665162
8.01586756901,-12.4547976419,10.0168042184
8.21788777103,-12.4547976419,11.0467029731
8.41990797305,-12.4547976419,12.0766019172
8.62192817507,-12.4547976419,13.1065008967
